Description;Price;Rating;Url
"Dell Vostro 3400 14"" FHD Anti Glare Display Laptop / i5-1135G7 / 8GB / 1TB / Integrated Graphics / 1 Yr NBD / Win 10 + MSO / Dune Color / 1.6Kg/ Backlit Keyboard) D552155WIN9DE";49990;3.5 out of 5 stars;https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03514403CHT6U19TSWJA&url=%2FDell-i5-1135G7-Integrated-Graphics-D552155WIN9DE%2Fdp%2FB08MQGD9YY%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Ddell%2Blaptop%26qid%3D1616688460%26sr%3D8-1-spons%26psc%3D1&qualifier=1616688460&id=3972910750878114&widgetName=sp_atf
DELL XPS 9300 13.3-inch FHD Laptop (10th Gen Core i5-1035G1/8GB/512GB SSD/Windows 10 Home Plus & MS Office 365- 1Yr Subscription/Intel HD Graphics), Silver;136500;3.8 out of 5 stars;https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A030890031SHVONFGHUHG&url=%2F9300-13-3-inch-i5-1035G1-Subscription-Graphics%2Fdp%2FB08BZPD3TP%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Ddell%2Blaptop%26qid%3D1616688460%26sr%3D8-2-spons%26psc%3D1&qualifier=1616688460&id=3972910750878114&widgetName=sp_atf
"Dell Inspiron 3505 15.6"" FHD Anti Glare Display Laptop (Ryzen-3 3250U / 8GB / 256 SSD / Vega Graphics / 1 Yr NBD / Win 10 + Office H&S/ Accent Black) D560392WIN9BE";37500;3.8 out of 5 stars;https://www.amazon.com/Dell-Inspiron-Display-Graphics-D560392WIN9BE/dp/B08MPP51VB/ref=sr_1_3?dchild=1&keywords=dell+laptop&qid=1616688460&sr=8-3
Dell INSPIRON 3505 15inch FHD AG Laptop (Ryzen-3 3250U / 4 GB / 1TB+256 SSD / Vega Graphics / 1 Yr NBD / Win 10 + MS Office H&S 2019) D560338WIN9S;36190;3.9 out of 5 stars;https://www.amazon.com/Dell-Inspiron-Display-Graphics-D560338WIN9S/dp/B08HPY2N4W/ref=sr_1_4?dchild=1&keywords=dell+laptop&qid=1616688460&sr=8-4
Dell Vostro 3401 14inch FHD Anti Glare 2 Side Narrow Border Display Laptop (10th gen i3-1005G1 / 4GB / 1TB / Integrated Graphics/ Win 10 + MSO/ Black) D552124WIN9BE;35390;3.5 out of 5 stars;https://www.amazon.com/Dell-i3-1005G1-Integrated-Graphics-D552124WIN9BE/dp/B08HYZ2HQR/ref=sr_1_5?dchild=1&keywords=dell+laptop&qid=1616688460&sr=8-5
"Dell Vostro 3405 14"" HD AG Display Laptop (AMD Silver 3050U / 4GB / 256 SSD / Integrated Graphics / Win 10 + MSO/ Black) D552147WIN9BE";27990;;https://www.amazon.com/Dell-Display-Integrated-Graphics-D552147WIN9BE/dp/B08X4NYNHW/ref=sr_1_6?dchild=1&keywords=dell+laptop&qid=1616688460&sr=8-6
"Dell Inspiron 3505 15.6"" HD Anti Glare Display Laptop (Athlon Gold 3150U / 4GB / 256 SSD / Integrated Graphics / Win 10 + MS Office / Accent Black) D560343WIN9BE";31990;3.5 out of 5 stars;https://www.amazon.com/Dell-Inspiron-Integrated-Graphics-D560343WIN9BE/dp/B08TQL2FYP/ref=sr_1_7?dchild=1&keywords=dell+laptop&qid=1616688460&sr=8-7
"Dell Vostro 3400 14"" FHD Anti Glare Display Laptop / i5-1135G7 / 8GB / 1TB / Integrated Graphics / 1 Yr NBD / Win 10 + MSO / Dune Color / 1.6Kg/ Backlit Keyboard) D552155WIN9DE";49990;3.5 out of 5 stars;https://www.amazon.com/Dell-i5-1135G7-Integrated-Graphics-D552155WIN9DE/dp/B08MQGD9YY/ref=sr_1_8?dchild=1&keywords=dell+laptop&qid=1616688460&sr=8-8
"Dell Vostro 3405 14"" FHD AG Display Laptop (Ryzen-5 3500U / 8GB / 512 SSD / Vega 8 Graphics / Win 10 + Office H&S/ Dune Color) D552122WIN9DE";46190;4.1 out of 5 stars;https://www.amazon.com/Dell-Display-Ryzen-5-Graphics-D552122WIN9DE/dp/B08MQLRQ9K/ref=sr_1_9?dchild=1&keywords=dell+laptop&qid=1616688460&sr=8-9
"Dell Inspiron 3501 15.6"" FHD Anti Glare Display Laptop ( i3-1005G1 / 4GB / 256 SSD / Integrated Graphics / 1 Yr NBD / Win 10 + MSO / Accent Black) D560397WIN9BE";37490;3.0 out of 5 stars;https://www.amazon.com/Dell-Inspiron-i3-1005G1-Integrated-D560397WIN9BE/dp/B08MQ67ZX3/ref=sr_1_10?dchild=1&keywords=dell+laptop&qid=1616688460&sr=8-10
Dell Inspiron 5406 11th Gen 14inch FHD 2in1 Laptop( i3-1115G4 / 4GB / 256 SSD /Integrated Graphics/ Win 10/MS Office 19/ Active Pen/Platinum Silver),D560365WIN9S;49990;3.9 out of 5 stars;https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0763833W9NHZIL5RWSR&url=%2FDell-Inspiron-i3-1115G4-Integrated-D560365WIN9S%2Fdp%2FB08MPVWYBQ%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3Ddell%2Blaptop%26qid%3D1616688460%26sr%3D8-11-spons%26psc%3D1&qualifier=1616688460&id=3972910750878114&widgetName=sp_mtf
Dell G3 3500 Gaming Laptop with 15.6 Inch 120 Hz FHD Display (10th Gen i5-10300H/ 8 GB/ 1TB+256 SSD/ Win 10/ NVIDIA GTX 1650 4GB Graphics) D560245HIN9BE / D560317HIN9BE;72490;3.9 out of 5 stars;https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06873551M63UTHRZCI41&url=%2FDell-i5-10300H-Graphics-D560245HIN9BE-D560317HIN9BE%2Fdp%2FB08GY2DR2Z%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3Ddell%2Blaptop%26qid%3D1616688460%26sr%3D8-12-spons%26psc%3D1&qualifier=1616688460&id=3972910750878114&widgetName=sp_mtf
